n_estimators,max_depth,min_samples_split,min_samples_leaf,max_features,FP,FN,Penalty
100,10,2,1,sqrt,112,69,146.5
100,10,2,1,,139,74,176.0
100,10,2,2,sqrt,113,70,148.0
100,10,2,2,,140,75,177.5
100,10,5,1,sqrt,110,68,144.0
100,10,5,1,,139,76,177.0
100,10,5,2,sqrt,119,72,155.0
100,10,5,2,,140,74,177.0
100,20,2,1,sqrt,41,100,91.0
100,20,2,1,,63,105,115.5
100,20,2,2,sqrt,50,95,97.5
100,20,2,2,,60,97,108.5
100,20,5,1,sqrt,44,101,94.5
100,20,5,1,,64,101,114.5
100,20,5,2,sqrt,43,95,90.5
100,20,5,2,,67,97,115.5
200,10,2,1,sqrt,109,70,144.0
200,10,2,1,,133,75,170.5
200,10,2,2,sqrt,118,68,152.0
200,10,2,2,,136,74,173.0
200,10,5,1,sqrt,111,69,145.5
200,10,5,1,,133,75,170.5
200,10,5,2,sqrt,113,73,149.5
200,10,5,2,,136,73,172.5
200,20,2,1,sqrt,40,102,91.0
200,20,2,1,,61,106,114.0
200,20,2,2,sqrt,52,98,101.0
200,20,2,2,,59,100,109.0
200,20,5,1,sqrt,43,98,92.0
200,20,5,1,,60,101,110.5
200,20,5,2,sqrt,49,95,96.5
200,20,5,2,,62,98,111.0
100,10,2,1,sqrt,129,73,165.5
100,10,2,1,,119,75,156.5
100,10,2,2,sqrt,125,70,160.0
100,10,2,2,,123,75,160.5
100,10,5,1,sqrt,132,65,164.5
100,10,5,1,,119,76,157.0
100,10,5,2,sqrt,127,66,160.0
100,10,5,2,,120,75,157.5
100,20,2,1,sqrt,43,109,97.5
100,20,2,1,,54,117,112.5
100,20,2,2,sqrt,52,102,103.0
100,20,2,2,,58,108,112.0
100,20,5,1,sqrt,45,103,96.5
100,20,5,1,,57,109,111.5
100,20,5,2,sqrt,56,98,105.0
100,20,5,2,,61,104,113.0
200,10,2,1,sqrt,121,71,156.5
200,10,2,1,,120,76,158.0
200,10,2,2,sqrt,127,67,160.5
200,10,2,2,,122,74,159.0
200,10,5,1,sqrt,129,66,162.0
200,10,5,1,,121,76,159.0
200,10,5,2,sqrt,122,68,156.0
200,10,5,2,,122,76,160.0
200,20,2,1,sqrt,40,112,96.0
200,20,2,1,,53,111,108.5
200,20,2,2,sqrt,55,97,103.5
200,20,2,2,,55,105,107.5
200,20,5,1,sqrt,49,104,101.0
200,20,5,1,,54,105,106.5
200,20,5,2,sqrt,57,93,103.5
200,20,5,2,,57,101,107.5
